ID,session_type,type
200119646496892,bilendi,screen out
199441324957753,bilendi,success
197758978154512,bilendi,screen out
200832525132903,bilendi,success
200040281728054,bilendi,success
200927547959309,bilendi,screen out
200927557070876,bilendi,success
199441301450832,bilendi,screen out
199350938846265,bilendi,success
200832528189473,bilendi,success
199590989584482,bilendi,success
200040278145026,bilendi,success
200832527657059,bilendi,success
200745048314991,bilendi,success
201194604141660,bilendi,screen out
201194601352235,bilendi,success
201194601026640,bilendi,success
199590961047572,bilendi,success
201194604807263,bilendi,screen out
201194605791274,bilendi,success
201194603315262,bilendi,success
201194600834068,bilendi,success
201194599096355,bilendi,success
201194606204017,bilendi,success
201194602537083,bilendi,success
199350928212035,bilendi,success
201194600500278,bilendi,screen out
201194600575061,bilendi,screen out
201194602811468,bilendi,success
201194601253908,bilendi,success
201194613522508,bilendi,screen out
201194611570742,bilendi,success
201194603630717,bilendi,success
201194605669402,bilendi,success
201194602460261,bilendi,success
201194605322318,bilendi,success
201194602127362,bilendi,screen out
201194602046576,bilendi,success
201194603925551,bilendi,success
199590968990826,bilendi,success
201194602686503,bilendi,success
201194607046716,bilendi,success
201194605726755,bilendi,success
201194604757077,bilendi,success
201194601705484,bilendi,success
201194603594869,bilendi,success
199350985218068,bilendi,success
201194601691145,bilendi,success
201194601406523,bilendi,success
201194600294513,bilendi,success
199590968465462,bilendi,screen out
201194602994690,bilendi,screen out
