ID,session_type,type
200040273220710,bilendi,screen out
200119647224908,bilendi,success
200119653958706,bilendi,success
199590958228519,bilendi,screen out
199590982203420,bilendi,success
200119647224908,bilendi,success
199441311687801,bilendi,screen out
200119648973921,bilendi,screen out
199590963320905,bilendi,success
200040275508321,bilendi,success
200040300433510,bilendi,screen out
200119652125703,bilendi,screen out
198999546514553,bilendi,screen out
200040277455920,bilendi,screen out
200040278457387,bilendi,success
200040273391736,bilendi,screen out
198999546058793,bilendi,screen out
200119646240868,bilendi,success
200119641954345,bilendi,screen out
200119646487675,bilendi,success
199441298125883,bilendi,success
199590959327354,bilendi,success
199441306669138,bilendi,screen out
200119658402838,bilendi,screen out
200119657302129,bilendi,screen out
200040274597998,bilendi,success
200040272685102,bilendi,screen out
200040282857518,bilendi,success
200040281160815,bilendi,success
199441306218519,bilendi,success
199590985068601,bilendi,success
200119649989699,bilendi,success
200119649907770,bilendi,screen out
199350930770041,bilendi,success
200119644300356,bilendi,success
198999543024731,bilendi,success
199590969415689,bilendi,success
200210438896707,bilendi,screen out
200210442343456,bilendi,screen out
200210447716467,bilendi,screen out
200210444907562,bilendi,success
200210437277725,bilendi,screen out
200119667004453,bilendi,success
200210450971760,bilendi,success
200210438683689,bilendi,success
200040284088367,bilendi,screen out
200040284088367,bilendi,screen out
200210443100269,bilendi,success
200210438882370,bilendi,success
200210449475660,bilendi,screen out
200210442658884,bilendi,success
200040278801497,bilendi,screen out
200210438375431,bilendi,success
200210437688391,bilendi,success
200210445713421,bilendi,success
200210446165055,bilendi,screen out
200210450228257,bilendi,success
200210458979389,bilendi,success
200210445632514,bilendi,success
200210438961226,bilendi,success
200210446244938,bilendi,success
200210443876412,bilendi,success
197758977655859,bilendi,screen out
200210437844053,bilendi,success
200210447784058,bilendi,success
200210441649240,bilendi,success
200210457887762,bilendi,success
199441297268860,bilendi,screen out
200210445724688,bilendi,success
200210444940334,bilendi,success
200210442404904,bilendi,success
200210449545297,bilendi,success
200210442572862,bilendi,success
200210438375432,bilendi,success
200210442969184,bilendi,success
200210438201462,bilendi,success
200210438361094,bilendi,success
200210441058334,bilendi,success
200210457711734,bilendi,screen out
200210456225869,bilendi,success
200210444167258,bilendi,success
200210448459858,bilendi,success
200210437898329,bilendi,success
200119657661492,bilendi,screen out
200210442404904,bilendi,screen out
200210439822363,bilendi,success
200210455117914,bilendi,success
200119646196834,bilendi,screen out
200210445124673,bilendi,screen out
200210440804353,bilendi,success
200210441269296,bilendi,success
200210440923153,bilendi,success
200210456159302,bilendi,success
200210441011225,bilendi,success
200210452321312,bilendi,success
200210442056707,bilendi,success
199590973311019,bilendi,success
200040300622871,bilendi,success
200210445266006,bilendi,screen out
200210441210923,bilendi,success
200119656909898,bilendi,success
200210453535777,bilendi,screen out
199590973286440,bilendi,success
200119650085964,bilendi,success
200119651979385,bilendi,screen out
200040274089024,bilendi,screen out
200210445763606,bilendi,success
200210443480082,bilendi,success
200210439000142,bilendi,success
199350950016108,bilendi,success
200210447583328,bilendi,screen out
200210442160142,bilendi,success
200210454252668,bilendi,success
200210437816403,bilendi,success
200210441323574,bilendi,success
200210448618596,bilendi,success
200210443291653,bilendi,success
200210437856342,bilendi,screen out
200210454252668,bilendi,success
200210442494003,bilendi,screen out
200210438832187,bilendi,success
200210447705199,bilendi,success
200210445347938,bilendi,success
200210453883981,bilendi,success
200119649942590,bilendi,success
200210441333815,bilendi,success
200210439455870,bilendi,success
200210445888545,bilendi,success
200210458923057,bilendi,success
199350954243126,bilendi,success
200119664213115,bilendi,success
200119646072918,bilendi,success
200210447142960,bilendi,success
200040283078727,bilendi,screen out
200210440479834,bilendi,screen out
200210442018941,bilendi,success
200040287717424,bilendi,success
200210439419003,bilendi,success
200210456997932,bilendi,success
200210440010797,bilendi,success
200119659819109,bilendi,success
200210438337540,bilendi,success
199590989612134,bilendi,screen out
200040278690891,bilendi,screen out
198999542041717,bilendi,success
200210438952009,bilendi,success
199441302529107,bilendi,success
200210458798098,bilendi,success
199590963251268,bilendi,screen out
200210441432130,bilendi,screen out
200119650520186,bilendi,success
199590996817006,bilendi,success
199590965182567,bilendi,success
200210444666891,bilendi,success
200210441309236,bilendi,success
200210438775862,bilendi,screen out
200210446200900,bilendi,success
200210439627789,bilendi,success
199590971114496,bilendi,success
200040281678897,bilendi,success
200210457413726,bilendi,screen out
200210448410700,bilendi,success
200210456159301,bilendi,success
200119648946269,bilendi,screen out
200119650703378,bilendi,success
200040295026753,bilendi,success
200210442352673,bilendi,screen out
200210446392410,bilendi,success
200210447335493,bilendi,success
200210440795136,bilendi,screen out
200210445284442,bilendi,success
200210440366158,bilendi,screen out
198999551585337,bilendi,success
200210447074345,bilendi,success
200119653110901,bilendi,success
200210458668036,bilendi,success
200119655181373,bilendi,success
200210442863703,bilendi,success
200040272266242,bilendi,success
200040277827669,bilendi,success
200210458866721,bilendi,success
200119655402584,bilendi,screen out
200210456851480,bilendi,success
199350958037086,bilendi,success
200119654490228,bilendi,success
200119646518398,bilendi,success
200210444639240,bilendi,screen out
200210442744907,bilendi,screen out
200119653441556,bilendi,success
200119648645172,bilendi,success
200040276862065,bilendi,success
200119646675975,bilendi,screen out
200210439129180,bilendi,success
200210445092924,bilendi,success
200210440702070,bilendi,success
198999545895947,bilendi,success
200210446498916,bilendi,success
200210440908815,bilendi,success
200210458909740,bilendi,success
200040285263936,bilendi,success
200210439215204,bilendi,success
200210445763604,bilendi,success
200210445763604,bilendi,screen out
199350950426631,bilendi,success
200210440346701,bilendi,success
200210439404664,bilendi,success
200040279188481,bilendi,success
200210454562850,bilendi,success
200040287680550,bilendi,screen out
199590957554691,bilendi,success
200040275566694,bilendi,screen out
199590973383732,bilendi,success
200119649083504,bilendi,screen out
199441309906978,bilendi,success
200210437529656,bilendi,success
200119666652221,bilendi,success
199590959814688,bilendi,screen out
200210444518523,bilendi,screen out
200210445433961,bilendi,success
199590965216363,bilendi,success
200210445141060,bilendi,success
200210438458382,bilendi,success
200210445656069,bilendi,success
200119644436560,bilendi,screen out
200210446291022,bilendi,success
200040275455069,bilendi,success
200210445164614,bilendi,screen out
200119647076405,bilendi,success
200119645881406,bilendi,screen out
200040298188900,bilendi,success
200210441835627,bilendi,success
199350942881906,bilendi,success
200210456166471,bilendi,success
200210439915556,bilendi,screen out
200210438875200,bilendi,success
200210444783641,bilendi,success
199350952164377,bilendi,success
200210457343060,bilendi,success
200210447785084,bilendi,success
197819572224018,bilendi,screen out
200119666790491,bilendi,screen out
200210457742457,bilendi,success
199441299654687,bilendi,success
200210446066743,bilendi,success
200210447026211,bilendi,success
200210438981708,bilendi,screen out
199590965318769,bilendi,success
200210438577181,bilendi,screen out
200210447592545,bilendi,screen out
198999549506562,bilendi,success
